# provenance: run=20260630T0538__10ep_3bb script=paper/figures/scripts/extract_htraj.py backbone=llama-3.2-11b-vision fault=hallucination__position_worst_user_direct baselines=['b0', 'b2'] n_episodes=10
series,ep,t,dist,r,h,r_min,r_max
B0 (no filter),1,1.8604,1.2693,1.8,-0.5307,0.9,1.8
B0 (no filter),1,1.8805,1.2651,1.8,-0.5349,0.9,1.8
B0 (no filter),1,1.9006,1.2588,1.8,-0.5412,0.9,1.8
B0 (no filter),1,1.9215,1.2546,1.8,-0.5454,0.9,1.8
B0 (no filter),1,1.9405,1.2483,1.8,-0.5517,0.9,1.8
B0 (no filter),1,1.9608,1.244,1.8,-0.556,0.9,1.8
B0 (no filter),1,1.9807,1.2376,1.8,-0.5624,0.9,1.8
B0 (no filter),1,2.0011,1.2333,1.8,-0.5667,0.9,1.8
B0 (no filter),1,2.0206,1.2268,1.8,-0.5732,0.9,1.8
B0 (no filter),1,2.0404,1.2225,1.8,-0.5775,0.9,1.8
B0 (no filter),1,2.0614,1.2159,1.8,-0.5841,0.9,1.8
B0 (no filter),1,2.081,1.2114,1.8,-0.5886,0.9,1.8
B0 (no filter),1,2.1005,1.2048,1.8,-0.5952,0.9,1.8
B0 (no filter),1,2.1206,1.2003,1.8,-0.5997,0.9,1.8
B0 (no filter),1,2.1406,1.1936,1.8,-0.6064,0.9,1.8
B0 (no filter),1,2.1602,1.1891,1.8,-0.6109,0.9,1.8
B0 (no filter),1,2.1808,1.1824,1.8,-0.6176,0.9,1.8
B0 (no filter),1,2.2006,1.1779,1.8,-0.6221,0.9,1.8
B0 (no filter),1,2.221,1.1712,1.8,-0.6288,0.9,1.8
B0 (no filter),1,2.2405,1.1668,1.8,-0.6332,0.9,1.8
B0 (no filter),1,2.2607,1.16,1.8,-0.64,0.9,1.8
B0 (no filter),1,2.2803,1.1556,1.8,-0.6444,0.9,1.8
B0 (no filter),1,2.3006,1.1489,1.8,-0.6511,0.9,1.8
B0 (no filter),1,2.3215,1.1445,1.8,-0.6555,0.9,1.8
B0 (no filter),1,2.3404,1.1379,1.8,-0.6621,0.9,1.8
B0 (no filter),1,2.3612,1.1336,1.8,-0.6664,0.9,1.8
B0 (no filter),1,2.3811,1.1272,1.8,-0.6728,0.9,1.8
B0 (no filter),1,2.4005,1.123,1.8,-0.677,0.9,1.8
B0 (no filter),1,2.4214,1.1167,1.8,-0.6833,0.9,1.8
B0 (no filter),1,2.4405,1.1127,1.8,-0.6873,0.9,1.8
B0 (no filter),1,2.4603,1.1067,1.8,-0.6933,0.9,1.8
B0 (no filter),1,2.4805,1.1027,1.8,-0.6973,0.9,1.8
B0 (no filter),1,2.5004,1.0968,1.8,-0.7032,0.9,1.8
B0 (no filter),1,2.521,1.093,1.8,-0.707,0.9,1.8
B0 (no filter),1,2.5408,1.0873,1.8,-0.7127,0.9,1.8
B0 (no filter),1,2.5605,1.0835,1.8,-0.7165,0.9,1.8
B0 (no filter),1,2.5807,1.078,1.8,-0.722,0.9,1.8
B0 (no filter),1,2.6002,1.0744,1.8,-0.7256,0.9,1.8
B0 (no filter),1,2.6206,1.069,1.8,-0.731,0.9,1.8
B0 (no filter),1,2.6405,1.0655,1.8,-0.7345,0.9,1.8
B0 (no filter),1,2.6605,1.0603,1.8,-0.7397,0.9,1.8
B0 (no filter),1,2.6809,1.0569,1.8,-0.7431,0.9,1.8
B0 (no filter),1,2.702,1.0518,1.8,-0.7482,0.9,1.8
B0 (no filter),1,2.7207,1.0485,1.8,-0.7515,0.9,1.8
B0 (no filter),1,2.7414,1.0436,1.8,-0.7564,0.9,1.8
B0 (no filter),1,2.7605,1.0403,1.8,-0.7597,0.9,1.8
B0 (no filter),1,2.7805,1.0355,1.8,-0.7645,0.9,1.8
B0 (no filter),1,2.8003,1.0323,1.8,-0.7677,0.9,1.8
B0 (no filter),1,2.8205,1.0275,1.8,-0.7725,0.9,1.8
B0 (no filter),1,2.8399,1.0244,1.8,-0.7756,0.9,1.8
B0 (no filter),1,2.8618,1.0196,1.8,-0.7804,0.9,1.8
B0 (no filter),1,2.8802,1.0165,1.8,-0.7835,0.9,1.8
B0 (no filter),1,2.9005,1.0118,1.8,-0.7882,0.9,1.8
B0 (no filter),1,2.9206,1.0087,1.8,-0.7913,0.9,1.8
B0 (no filter),1,2.9399,1.0042,1.8,-0.7958,0.9,1.8
B0 (no filter),1,2.9604,1.0011,1.8,-0.7989,0.9,1.8
B0 (no filter),1,2.9813,0.9966,1.8,-0.8034,0.9,1.8
B0 (no filter),1,3.0007,0.9936,1.8,-0.8064,0.9,1.8
B0 (no filter),1,3.0211,0.9891,1.8,-0.8109,0.9,1.8
B0 (no filter),1,3.0399,0.9861,1.8,-0.8139,0.9,1.8
B0 (no filter),1,3.0606,0.9815,1.8,-0.8185,0.9,1.8
B0 (no filter),1,3.0807,0.9785,1.8,-0.8215,0.9,1.8
B0 (no filter),1,3.1001,0.974,1.8,-0.826,0.9,1.8
B0 (no filter),1,3.1205,0.971,1.8,-0.829,0.9,1.8
B0 (no filter),1,3.1406,0.9665,1.8,-0.8335,0.9,1.8
B0 (no filter),1,3.1616,0.9635,1.8,-0.8365,0.9,1.8
B0 (no filter),1,3.1804,0.959,1.8,-0.841,0.9,1.8
B0 (no filter),1,3.2004,0.956,1.8,-0.844,0.9,1.8
B0 (no filter),1,3.2212,0.9516,1.8,-0.8484,0.9,1.8
B0 (no filter),1,3.2402,0.9486,1.8,-0.8514,0.9,1.8
B0 (no filter),1,3.26,0.9442,1.8,-0.8558,0.9,1.8
B0 (no filter),1,3.2816,0.9399,1.8,-0.8601,0.9,1.8
B0 (no filter),1,3.3002,0.937,1.8,-0.863,0.9,1.8
B0 (no filter),1,3.3224,0.9341,1.8,-0.8659,0.9,1.8
B0 (no filter),1,3.3404,0.9299,1.8,-0.8701,0.9,1.8
B0 (no filter),1,3.3606,0.9271,1.8,-0.8729,0.9,1.8
B0 (no filter),1,3.381,0.923,1.8,-0.877,0.9,1.8
B0 (no filter),1,3.401,0.9202,1.8,-0.8798,0.9,1.8
B0 (no filter),1,3.4209,0.9162,1.8,-0.8838,0.9,1.8
B0 (no filter),1,3.4401,0.9136,1.8,-0.8864,0.9,1.8
B0 (no filter),1,3.4609,0.9097,1.8,-0.8903,0.9,1.8
B0 (no filter),1,3.4818,0.9072,1.8,-0.8928,0.9,1.8
B0 (no filter),1,3.5004,0.9034,1.8,-0.8966,0.9,1.8
B0 (no filter),1,3.5204,0.9009,1.8,-0.8991,0.9,1.8
B0 (no filter),1,3.5406,0.8972,1.8,-0.9028,0.9,1.8
B0 (no filter),1,3.5604,0.8948,1.8,-0.9052,0.9,1.8
B0 (no filter),1,3.5809,0.8913,1.8,-0.9087,0.9,1.8
B0 (no filter),1,3.6003,0.889,1.8,-0.911,0.9,1.8
B0 (no filter),1,3.6222,0.8857,1.8,-0.9143,0.9,1.8
B0 (no filter),1,3.6406,0.8835,1.8,-0.9165,0.9,1.8
B0 (no filter),1,3.6613,0.8804,1.8,-0.9196,0.9,1.8
B0 (no filter),1,3.6801,0.8783,1.8,-0.9217,0.9,1.8
B0 (no filter),1,3.7011,0.8754,1.8,-0.9246,0.9,1.8
B0 (no filter),1,3.7212,0.8735,1.8,-0.9265,0.9,1.8
B0 (no filter),1,3.7408,0.8707,1.8,-0.9293,0.9,1.8
B0 (no filter),1,3.7607,0.8689,1.8,-0.9311,0.9,1.8
B0 (no filter),1,3.7814,0.8664,1.8,-0.9336,0.9,1.8
B0 (no filter),1,3.8008,0.8647,1.8,-0.9353,0.9,1.8
B0 (no filter),1,3.8212,0.8624,1.8,-0.9376,0.9,1.8
B0 (no filter),1,3.841,0.8609,1.8,-0.9391,0.9,1.8
B0 (no filter),1,3.8603,0.8587,1.8,-0.9413,0.9,1.8
B0 (no filter),1,3.88,0.8573,1.8,-0.9427,0.9,1.8
B0 (no filter),1,3.9008,0.8554,1.8,-0.9446,0.9,1.8
B0 (no filter),1,3.921,0.8541,1.8,-0.9459,0.9,1.8
B0 (no filter),1,3.9408,0.8523,1.8,-0.9477,0.9,1.8
B0 (no filter),1,3.9605,0.8511,1.8,-0.9489,0.9,1.8
B0 (no filter),1,3.9805,0.8493,1.8,-0.9507,0.9,1.8
B0 (no filter),1,4.0004,0.8482,1.8,-0.9518,0.9,1.8
B0 (no filter),1,4.0221,0.8465,1.8,-0.9535,0.9,1.8
B0 (no filter),1,4.0407,0.8454,1.8,-0.9546,0.9,1.8
B0 (no filter),1,4.0602,0.8438,1.8,-0.9562,0.9,1.8
B0 (no filter),1,4.0813,0.8428,1.8,-0.9572,0.9,1.8
B0 (no filter),1,4.1004,0.8413,1.8,-0.9587,0.9,1.8
B0 (no filter),1,4.121,0.8404,1.8,-0.9596,0.9,1.8
B0 (no filter),1,4.141,0.8391,1.8,-0.9609,0.9,1.8
B0 (no filter),1,4.1606,0.8383,1.8,-0.9617,0.9,1.8
B0 (no filter),1,4.1809,0.8371,1.8,-0.9629,0.9,1.8
B0 (no filter),1,4.2011,0.8363,1.8,-0.9637,0.9,1.8
B0 (no filter),1,4.2201,0.8352,1.8,-0.9648,0.9,1.8
B0 (no filter),1,4.2403,0.8344,1.8,-0.9656,0.9,1.8
B0 (no filter),1,4.2605,0.8333,1.8,-0.9667,0.9,1.8
B0 (no filter),1,4.2807,0.8325,1.8,-0.9675,0.9,1.8
B0 (no filter),1,4.302,0.8314,1.8,-0.9686,0.9,1.8
B0 (no filter),1,4.3205,0.8306,1.8,-0.9694,0.9,1.8
B0 (no filter),1,4.3406,0.8294,1.8,-0.9706,0.9,1.8
B0 (no filter),1,4.362,0.8287,1.8,-0.9713,0.9,1.8
B0 (no filter),1,4.3806,0.8275,1.8,-0.9725,0.9,1.8
B0 (no filter),1,4.401,0.8267,1.8,-0.9733,0.9,1.8
B0 (no filter),1,4.4207,0.8254,1.8,-0.9746,0.9,1.8
B0 (no filter),1,4.4402,0.8246,1.8,-0.9754,0.9,1.8
B0 (no filter),1,4.4602,0.8233,1.8,-0.9767,0.9,1.8
B0 (no filter),1,4.4802,0.8225,1.8,-0.9775,0.9,1.8
B0 (no filter),1,4.5005,0.8212,1.8,-0.9788,0.9,1.8
B0 (no filter),1,4.5203,0.8203,1.8,-0.9797,0.9,1.8
B0 (no filter),1,4.5404,0.819,1.8,-0.981,0.9,1.8
B0 (no filter),1,4.5613,0.8181,1.8,-0.9819,0.9,1.8
B0 (no filter),1,4.5805,0.8168,1.8,-0.9832,0.9,1.8
B0 (no filter),1,4.6004,0.8159,1.8,-0.9841,0.9,1.8
B0 (no filter),1,4.6213,0.8145,1.8,-0.9855,0.9,1.8
B0 (no filter),1,4.6405,0.8137,1.8,-0.9863,0.9,1.8
B0 (no filter),1,4.6605,0.8123,1.8,-0.9877,0.9,1.8
B0 (no filter),1,4.6804,0.8114,1.8,-0.9886,0.9,1.8
B0 (no filter),1,4.7012,0.8101,1.8,-0.9899,0.9,1.8
B0 (no filter),1,4.7213,0.8092,1.8,-0.9908,0.9,1.8
B0 (no filter),1,4.7404,0.808,1.8,-0.992,0.9,1.8
B0 (no filter),1,4.7606,0.8071,1.8,-0.9929,0.9,1.8
B0 (no filter),1,4.7803,0.8059,1.8,-0.9941,0.9,1.8
B0 (no filter),1,4.8003,0.8051,1.8,-0.9949,0.9,1.8
B0 (no filter),1,4.8219,0.8038,1.8,-0.9962,0.9,1.8
B0 (no filter),1,4.8411,0.803,1.8,-0.997,0.9,1.8
B0 (no filter),1,4.8608,0.8018,1.8,-0.9982,0.9,1.8
B0 (no filter),1,4.8809,0.801,1.8,-0.999,0.9,1.8
B0 (no filter),1,4.9008,0.7998,1.8,-1.0002,0.9,1.8
B0 (no filter),1,4.9208,0.7991,1.8,-1.0009,0.9,1.8
B0 (no filter),1,4.9405,0.798,1.8,-1.002,0.9,1.8
B0 (no filter),1,4.9602,0.7973,1.8,-1.0027,0.9,1.8
B0 (no filter),1,4.9809,0.7964,1.8,-1.0036,0.9,1.8
B0 (no filter),1,5.0005,0.7958,1.8,-1.0042,0.9,1.8
B0 (no filter),1,5.0212,0.7949,1.8,-1.0051,0.9,1.8
B0 (no filter),1,5.0405,0.7944,1.8,-1.0056,0.9,1.8
B0 (no filter),1,5.0615,0.7936,1.8,-1.0064,0.9,1.8
B0 (no filter),1,5.0814,0.793,1.8,-1.007,0.9,1.8
B0 (no filter),1,5.1007,0.7923,1.8,-1.0077,0.9,1.8
B0 (no filter),1,5.1205,0.7918,1.8,-1.0082,0.9,1.8
B0 (no filter),1,5.1404,0.7911,1.8,-1.0089,0.9,1.8
B0 (no filter),1,5.1606,0.7907,1.8,-1.0093,0.9,1.8
B0 (no filter),1,5.1808,0.7902,1.8,-1.0098,0.9,1.8
B0 (no filter),1,5.2011,0.7898,1.8,-1.0102,0.9,1.8
B0 (no filter),1,5.2207,0.7894,1.8,-1.0106,0.9,1.8
B0 (no filter),1,5.2408,0.7891,1.8,-1.0109,0.9,1.8
B0 (no filter),1,5.2606,0.7887,1.8,-1.0113,0.9,1.8
B0 (no filter),1,5.2808,0.7885,1.8,-1.0115,0.9,1.8
B0 (no filter),1,5.3005,0.7882,1.8,-1.0118,0.9,1.8
B0 (no filter),1,5.3212,0.788,1.8,-1.012,0.9,1.8
B0 (no filter),1,5.3404,0.7877,1.8,-1.0123,0.9,1.8
B0 (no filter),1,5.361,0.7876,1.8,-1.0124,0.9,1.8
B0 (no filter),1,5.3802,0.7873,1.8,-1.0127,0.9,1.8
B0 (no filter),1,5.4007,0.7871,1.8,-1.0129,0.9,1.8
B0 (no filter),1,5.4212,0.7867,1.8,-1.0133,0.9,1.8
B0 (no filter),1,5.4405,0.7865,1.8,-1.0135,0.9,1.8
B0 (no filter),1,5.4602,0.7861,1.8,-1.0139,0.9,1.8
B0 (no filter),1,5.4806,0.7858,1.8,-1.0142,0.9,1.8
B0 (no filter),1,5.5009,0.7854,1.8,-1.0146,0.9,1.8
B0 (no filter),1,5.5213,0.7851,1.8,-1.0149,0.9,1.8
B0 (no filter),1,5.5405,0.7847,1.8,-1.0153,0.9,1.8
B0 (no filter),1,5.5604,0.7844,1.8,-1.0156,0.9,1.8
B0 (no filter),1,5.5809,0.7839,1.8,-1.0161,0.9,1.8
B0 (no filter),1,5.6,0.7836,1.8,-1.0164,0.9,1.8
B0 (no filter),1,5.6205,0.7832,1.8,-1.0168,0.9,1.8
B0 (no filter),1,5.6404,0.7829,1.8,-1.0171,0.9,1.8
B0 (no filter),1,5.6604,0.7824,1.8,-1.0176,0.9,1.8
B0 (no filter),1,5.6806,0.7821,1.8,-1.0179,0.9,1.8
B0 (no filter),1,5.7005,0.7816,1.8,-1.0184,0.9,1.8
B0 (no filter),1,5.7208,0.7812,1.8,-1.0188,0.9,1.8
B0 (no filter),1,5.7404,0.7808,1.8,-1.0192,0.9,1.8
B0 (no filter),1,5.7606,0.7805,1.8,-1.0195,0.9,1.8
B0 (no filter),1,5.7804,0.78,1.8,-1.02,0.9,1.8
B0 (no filter),1,5.8003,0.7797,1.8,-1.0203,0.9,1.8
B0 (no filter),1,5.8204,0.7793,1.8,-1.0207,0.9,1.8
B0 (no filter),1,5.8405,0.7791,1.8,-1.0209,0.9,1.8
B0 (no filter),1,5.86,0.7787,1.8,-1.0213,0.9,1.8
B0 (no filter),1,5.8805,0.7785,1.8,-1.0215,0.9,1.8
B0 (no filter),1,5.9004,0.7782,1.8,-1.0218,0.9,1.8
B0 (no filter),1,5.9205,0.7781,1.8,-1.0219,0.9,1.8
B0 (no filter),1,5.9403,0.7778,1.8,-1.0222,0.9,1.8
B0 (no filter),1,5.9615,0.7777,1.8,-1.0223,0.9,1.8
B0 (no filter),1,5.9805,0.7776,1.8,-1.0224,0.9,1.8
B0 (no filter),1,6.0016,0.7775,1.8,-1.0225,0.9,1.8
B0 (no filter),1,6.0205,0.7774,1.8,-1.0226,0.9,1.8
B0 (no filter),1,6.0405,0.7774,1.8,-1.0226,0.9,1.8
B0 (no filter),1,6.06,0.7774,1.8,-1.0226,0.9,1.8
B0 (no filter),1,6.0805,0.7774,1.8,-1.0226,0.9,1.8
B0 (no filter),1,6.1003,0.7775,1.8,-1.0225,0.9,1.8
B0 (no filter),1,6.1202,0.7775,1.8,-1.0225,0.9,1.8
B0 (no filter),1,6.1403,0.7778,1.8,-1.0222,0.9,1.8
B0 (no filter),1,6.1613,0.778,1.8,-1.022,0.9,1.8
B0 (no filter),1,6.1803,0.7783,1.8,-1.0217,0.9,1.8
B0 (no filter),1,6.2004,0.7785,1.8,-1.0215,0.9,1.8
B0 (no filter),1,6.22,0.779,1.8,-1.021,0.9,1.8
B0 (no filter),1,6.2405,0.7793,1.8,-1.0207,0.9,1.8
B0 (no filter),1,6.2605,0.7799,1.8,-1.0201,0.9,1.8
B0 (no filter),1,6.2808,0.7803,1.8,-1.0197,0.9,1.8
B0 (no filter),1,6.3005,0.781,1.8,-1.019,0.9,1.8
B0 (no filter),1,6.3213,0.7815,1.8,-1.0185,0.9,1.8
B0 (no filter),1,6.3406,0.7822,1.8,-1.0178,0.9,1.8
B0 (no filter),1,6.3602,0.7827,1.8,-1.0173,0.9,1.8
B0 (no filter),1,6.3803,0.7835,1.8,-1.0165,0.9,1.8
B0 (no filter),1,6.4008,0.784,1.8,-1.016,0.9,1.8
B0 (no filter),1,6.4206,0.7847,1.8,-1.0153,0.9,1.8
B0 (no filter),1,6.4406,0.7851,1.8,-1.0149,0.9,1.8
B0 (no filter),1,6.4611,0.7857,1.8,-1.0143,0.9,1.8
B0 (no filter),1,6.4812,0.7861,1.8,-1.0139,0.9,1.8
B0 (no filter),1,6.4999,0.7867,1.8,-1.0133,0.9,1.8
B0 (no filter),1,6.5199,0.7871,1.8,-1.0129,0.9,1.8
B0 (no filter),1,6.5407,0.7876,1.8,-1.0124,0.9,1.8
B0 (no filter),1,6.5601,0.7879,1.8,-1.0121,0.9,1.8
B0 (no filter),1,6.5814,0.7883,1.8,-1.0117,0.9,1.8
B0 (no filter),1,6.6004,0.7886,1.8,-1.0114,0.9,1.8
B0 (no filter),1,6.6215,0.7889,1.8,-1.0111,0.9,1.8
B0 (no filter),1,6.6407,0.7891,1.8,-1.0109,0.9,1.8
B0 (no filter),1,6.66,0.7894,1.8,-1.0106,0.9,1.8
B0 (no filter),1,6.6809,0.7895,1.8,-1.0105,0.9,1.8
B0 (no filter),1,6.7009,0.7897,1.8,-1.0103,0.9,1.8
B0 (no filter),1,6.722,0.7898,1.8,-1.0102,0.9,1.8
B0 (no filter),1,6.7408,0.7898,1.8,-1.0102,0.9,1.8
B0 (no filter),1,6.7609,0.7899,1.8,-1.0101,0.9,1.8
B0 (no filter),1,6.7807,0.7898,1.8,-1.0102,0.9,1.8
B0 (no filter),1,6.8006,0.7898,1.8,-1.0102,0.9,1.8
B0 (no filter),1,6.821,0.7897,1.8,-1.0103,0.9,1.8
B0 (no filter),1,6.8401,0.7897,1.8,-1.0103,0.9,1.8
B0 (no filter),1,6.8608,0.7895,1.8,-1.0105,0.9,1.8
B0 (no filter),1,6.881,0.7894,1.8,-1.0106,0.9,1.8
B0 (no filter),1,6.9,0.7892,1.8,-1.0108,0.9,1.8
B0 (no filter),1,6.92,0.7891,1.8,-1.0109,0.9,1.8
B0 (no filter),1,6.9408,0.789,1.8,-1.011,0.9,1.8
B0 (no filter),1,6.9605,0.7889,1.8,-1.0111,0.9,1.8
B0 (no filter),1,6.9804,0.7888,1.8,-1.0112,0.9,1.8
B0 (no filter),1,7.0001,0.7887,1.8,-1.0113,0.9,1.8
B0 (no filter),1,7.0199,0.7886,1.8,-1.0114,0.9,1.8
B0 (no filter),1,7.0404,0.7886,1.8,-1.0114,0.9,1.8
B0 (no filter),1,7.0602,0.7886,1.8,-1.0114,0.9,1.8
B0 (no filter),1,7.0805,0.7886,1.8,-1.0114,0.9,1.8
B0 (no filter),1,7.0999,0.7887,1.8,-1.0113,0.9,1.8
B0 (no filter),1,7.1206,0.7887,1.8,-1.0113,0.9,1.8
B0 (no filter),1,7.1406,0.7888,1.8,-1.0112,0.9,1.8
B0 (no filter),1,7.1601,0.789,1.8,-1.011,0.9,1.8
B0 (no filter),1,7.1804,0.7891,1.8,-1.0109,0.9,1.8
B0 (no filter),1,7.2004,0.7893,1.8,-1.0107,0.9,1.8
B0 (no filter),1,7.2203,0.7895,1.8,-1.0105,0.9,1.8
B0 (no filter),1,7.2404,0.7896,1.8,-1.0104,0.9,1.8
B0 (no filter),1,7.2603,0.7899,1.8,-1.0101,0.9,1.8
B0 (no filter),1,7.281,0.7901,1.8,-1.0099,0.9,1.8
B0 (no filter),1,7.3005,0.7904,1.8,-1.0096,0.9,1.8
B0 (no filter),1,7.3204,0.7906,1.8,-1.0094,0.9,1.8
B0 (no filter),1,7.3407,0.791,1.8,-1.009,0.9,1.8
B0 (no filter),1,7.3602,0.7914,1.8,-1.0086,0.9,1.8
B0 (no filter),1,7.3805,0.7919,1.8,-1.0081,0.9,1.8
B0 (no filter),1,7.4005,0.7922,1.8,-1.0078,0.9,1.8
B0 (no filter),1,7.42,0.7928,1.8,-1.0072,0.9,1.8
B0 (no filter),1,7.4404,0.7932,1.8,-1.0068,0.9,1.8
B0 (no filter),1,7.4606,0.794,1.8,-1.006,0.9,1.8
B0 (no filter),1,7.48,0.7945,1.8,-1.0055,0.9,1.8
B0 (no filter),1,7.5003,0.7953,1.8,-1.0047,0.9,1.8
B0 (no filter),1,7.5206,0.7958,1.8,-1.0042,0.9,1.8
B0 (no filter),1,7.5404,0.7967,1.8,-1.0033,0.9,1.8
B0 (no filter),1,7.5605,0.7973,1.8,-1.0027,0.9,1.8
B0 (no filter),1,7.5807,0.7983,1.8,-1.0017,0.9,1.8
B0 (no filter),1,7.6006,0.7989,1.8,-1.0011,0.9,1.8
B0 (no filter),1,7.6207,0.7999,1.8,-1.0001,0.9,1.8
B0 (no filter),1,7.6415,0.8006,1.8,-0.9994,0.9,1.8
B0 (no filter),1,7.6603,0.8016,1.8,-0.9984,0.9,1.8
B0 (no filter),1,7.6803,0.8022,1.8,-0.9978,0.9,1.8
B0 (no filter),1,7.7005,0.8031,1.8,-0.9969,0.9,1.8
B0 (no filter),1,7.7214,0.8037,1.8,-0.9963,0.9,1.8
B0 (no filter),1,7.7405,0.8046,1.8,-0.9954,0.9,1.8
B0 (no filter),1,7.7604,0.8052,1.8,-0.9948,0.9,1.8
B0 (no filter),1,7.78,0.806,1.8,-0.994,0.9,1.8
B0 (no filter),1,7.8007,0.8066,1.8,-0.9934,0.9,1.8
B0 (no filter),1,7.8208,0.8074,1.8,-0.9926,0.9,1.8
B0 (no filter),1,7.8417,0.808,1.8,-0.992,0.9,1.8
B0 (no filter),1,7.8607,0.8088,1.8,-0.9912,0.9,1.8
B0 (no filter),1,7.8805,0.8094,1.8,-0.9906,0.9,1.8
B0 (no filter),1,7.9019,0.8102,1.8,-0.9898,0.9,1.8
B0 (no filter),1,7.9204,0.8108,1.8,-0.9892,0.9,1.8
B0 (no filter),1,7.9407,0.8116,1.8,-0.9884,0.9,1.8
B0 (no filter),1,7.9605,0.8121,1.8,-0.9879,0.9,1.8
B0 (no filter),1,7.9811,0.8129,1.8,-0.9871,0.9,1.8
B0 (no filter),1,8.0006,0.8134,1.8,-0.9866,0.9,1.8
B0 (no filter),1,8.0231,0.8141,1.8,-0.9859,0.9,1.8
B0 (no filter),1,8.0409,0.8145,1.8,-0.9855,0.9,1.8
B0 (no filter),1,8.0609,0.8151,1.8,-0.9849,0.9,1.8
B0 (no filter),1,8.0801,0.8156,1.8,-0.9844,0.9,1.8
B0 (no filter),1,8.1005,0.8162,1.8,-0.9838,0.9,1.8
B0 (no filter),1,8.121,0.8166,1.8,-0.9834,0.9,1.8
B0 (no filter),1,8.1405,0.8172,1.8,-0.9828,0.9,1.8
B0 (no filter),1,8.1607,0.8176,1.8,-0.9824,0.9,1.8
B0 (no filter),1,8.1825,0.8181,1.8,-0.9819,0.9,1.8
B0 (no filter),1,8.2007,0.8184,1.8,-0.9816,0.9,1.8
B0 (no filter),1,8.2212,0.8189,1.8,-0.9811,0.9,1.8
B0 (no filter),1,8.2406,0.8192,1.8,-0.9808,0.9,1.8
B0 (no filter),1,8.2607,0.8196,1.8,-0.9804,0.9,1.8
B0 (no filter),1,8.2817,0.8198,1.8,-0.9802,0.9,1.8
B0 (no filter),1,8.3013,0.8201,1.8,-0.9799,0.9,1.8
B0 (no filter),1,8.3213,0.8203,1.8,-0.9797,0.9,1.8
B0 (no filter),1,8.3407,0.8206,1.8,-0.9794,0.9,1.8
B0 (no filter),1,8.3608,0.8208,1.8,-0.9792,0.9,1.8
B0 (no filter),1,8.3806,0.821,1.8,-0.979,0.9,1.8
B0 (no filter),1,8.4007,0.8212,1.8,-0.9788,0.9,1.8
B0 (no filter),1,8.4205,0.8214,1.8,-0.9786,0.9,1.8
B0 (no filter),1,8.4407,0.8215,1.8,-0.9785,0.9,1.8
B0 (no filter),1,8.4603,0.8216,1.8,-0.9784,0.9,1.8
B0 (no filter),1,8.4812,0.8217,1.8,-0.9783,0.9,1.8
B0 (no filter),1,8.501,0.8217,1.8,-0.9783,0.9,1.8
B0 (no filter),1,8.5202,0.8217,1.8,-0.9783,0.9,1.8
B0 (no filter),1,8.5409,0.8216,1.8,-0.9784,0.9,1.8
B0 (no filter),1,8.5604,0.8216,1.8,-0.9784,0.9,1.8
B0 (no filter),1,8.5802,0.8214,1.8,-0.9786,0.9,1.8
B0 (no filter),1,8.6004,0.8213,1.8,-0.9787,0.9,1.8
B0 (no filter),1,8.6205,0.8211,1.8,-0.9789,0.9,1.8
B0 (no filter),1,8.6405,0.821,1.8,-0.979,0.9,1.8
B0 (no filter),1,8.6603,0.8207,1.8,-0.9793,0.9,1.8
B0 (no filter),1,8.6802,0.8205,1.8,-0.9795,0.9,1.8
B0 (no filter),1,8.7005,0.8202,1.8,-0.9798,0.9,1.8
B0 (no filter),1,8.7206,0.82,1.8,-0.98,0.9,1.8
B0 (no filter),1,8.7403,0.8198,1.8,-0.9802,0.9,1.8
B0 (no filter),1,8.7602,0.8196,1.8,-0.9804,0.9,1.8
B0 (no filter),1,8.7807,0.8194,1.8,-0.9806,0.9,1.8
B0 (no filter),1,8.8005,0.8192,1.8,-0.9808,0.9,1.8
B0 (no filter),1,8.8204,0.819,1.8,-0.981,0.9,1.8
B0 (no filter),1,8.84,0.8189,1.8,-0.9811,0.9,1.8
B0 (no filter),1,8.86,0.8187,1.8,-0.9813,0.9,1.8
B0 (no filter),1,8.8813,0.8186,1.8,-0.9814,0.9,1.8
B0 (no filter),1,8.9005,0.8185,1.8,-0.9815,0.9,1.8
B0 (no filter),1,8.9205,0.8185,1.8,-0.9815,0.9,1.8
B0 (no filter),1,8.9403,0.8184,1.8,-0.9816,0.9,1.8
B0 (no filter),1,8.9608,0.8183,1.8,-0.9817,0.9,1.8
B0 (no filter),1,8.981,0.8182,1.8,-0.9818,0.9,1.8
B0 (no filter),1,9.0003,0.8182,1.8,-0.9818,0.9,1.8
B0 (no filter),1,9.0205,0.8182,1.8,-0.9818,0.9,1.8
B0 (no filter),1,9.0407,0.8181,1.8,-0.9819,0.9,1.8
B0 (no filter),1,9.0605,0.8181,1.8,-0.9819,0.9,1.8
B0 (no filter),1,9.0806,0.8182,1.8,-0.9818,0.9,1.8
B0 (no filter),1,9.1009,0.8182,1.8,-0.9818,0.9,1.8
B0 (no filter),1,9.1205,0.8183,1.8,-0.9817,0.9,1.8
B0 (no filter),1,9.1403,0.8184,1.8,-0.9816,0.9,1.8
B0 (no filter),1,9.1604,0.8185,1.8,-0.9815,0.9,1.8
B0 (no filter),1,9.1806,0.8187,1.8,-0.9813,0.9,1.8
B0 (no filter),1,9.2004,0.8189,1.8,-0.9811,0.9,1.8
